City_ID,City,Country,Lat,Lng,Date,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Lapeer,US,43.0514,-83.3188,2021-11-15 19:18:46,41.23,60,90,12.66,overcast clouds
1,Albany,US,42.6001,-73.9662,2021-11-15 19:06:11,45.18,79,100,1.01,overcast clouds
2,Punta Arenas,CL,-53.15,-70.9167,2021-11-15 19:10:46,51.91,37,20,26.46,few clouds
3,Atuona,PF,-9.8,-139.0333,2021-11-15 19:10:37,77.63,75,6,11.3,light rain
4,Saint Anthony,US,45.0205,-93.218,2021-11-15 19:16:20,35.89,71,90,1.99,light rain
5,Makakilo City,US,21.3469,-158.0858,2021-11-15 19:18:47,79.12,68,90,4.61,light rain
6,Noyabrsk,RU,63.1994,75.4507,2021-11-15 19:14:50,7.48,95,100,11.97,overcast clouds
7,Provost,CA,52.3501,-110.2683,2021-11-15 19:18:48,34.25,85,100,6.76,overcast clouds
8,Priiskovyy,RU,51.9333,116.6333,2021-11-15 19:18:48,19.51,84,13,4.54,few clouds
9,Hermanus,ZA,-34.4187,19.2345,2021-11-15 19:10:41,64.9,88,100,8.9,overcast clouds
10,Rio Grande,BR,-32.035,-52.0986,2021-11-15 19:18:48,84.31,76,80,14.7,broken clouds
11,Yellowknife,CA,62.456,-114.3525,2021-11-15 19:18:49,15.3,99,40,2.3,scattered clouds
12,Chokurdakh,RU,70.6333,147.9167,2021-11-15 19:10:56,5.99,96,100,2.75,overcast clouds
13,Bambous Virieux,MU,-20.3428,57.7575,2021-11-15 19:11:05,75.45,83,40,2.3,scattered clouds
14,Victoria,HK,22.2855,114.1577,2021-11-15 19:18:49,71.33,79,21,3.0,few clouds
15,Pochutla,MX,15.7432,-96.4661,2021-11-15 19:18:49,88.83,46,4,7.56,clear sky
16,Grand-Santi,GF,4.25,-54.3833,2021-11-15 19:18:50,80.02,83,87,3.36,overcast clouds
17,Sobolevo,RU,54.4299,31.8996,2021-11-15 19:18:50,27.28,81,47,5.57,scattered clouds
18,Port Macquarie,AU,-31.4333,152.9167,2021-11-15 19:18:51,48.16,64,0,9.89,clear sky
19,Dauphin,CA,51.1494,-100.0502,2021-11-15 19:18:51,28.54,93,90,3.44,overcast clouds
20,Jamestown,US,42.097,-79.2353,2021-11-15 19:10:48,40.59,88,40,8.01,scattered clouds
21,Lavrentiya,RU,65.5833,-171.0,2021-11-15 19:18:52,15.22,88,100,7.92,overcast clouds
22,Oksfjord,NO,70.2396,22.3479,2021-11-15 19:18:52,42.98,92,99,13.09,overcast clouds
23,Sur,OM,22.5667,59.5289,2021-11-15 19:18:53,75.54,49,54,3.69,broken clouds
24,Aberdeen,GB,57.1437,-2.0981,2021-11-15 19:18:53,46.2,93,69,6.91,broken clouds
25,Kodiak,US,57.79,-152.4072,2021-11-15 19:10:39,17.11,79,1,8.05,clear sky
26,Sechura,PE,-5.5569,-80.8222,2021-11-15 19:13:46,75.36,56,23,15.77,few clouds
27,Rikitea,PF,-23.1203,-134.9692,2021-11-15 19:10:42,74.44,82,100,13.42,light rain
28,Miles City,US,46.4083,-105.8406,2021-11-15 19:13:51,65.52,44,1,8.05,clear sky
29,Joao Camara,BR,-5.5375,-35.8197,2021-11-15 19:18:53,83.44,47,100,16.82,overcast clouds
30,Huarmey,PE,-10.0681,-78.1522,2021-11-15 19:18:54,70.05,72,55,11.21,broken clouds
31,Longyearbyen,SJ,78.2186,15.6401,2021-11-15 19:13:25,19.24,68,40,28.77,scattered clouds
32,Santa Teresa,VE,10.2341,-66.6631,2021-11-15 19:18:54,89.42,41,19,8.28,few clouds
33,Lompoc,US,34.6391,-120.4579,2021-11-15 19:12:06,86.09,47,1,3.44,clear sky
34,Saldanha,ZA,-33.0117,17.9442,2021-11-15 19:12:30,63.1,90,100,15.61,overcast clouds
35,Tuktoyaktuk,CA,69.4541,-133.0374,2021-11-15 19:10:44,11.57,93,100,10.78,overcast clouds
36,Sambava,MG,-14.2667,50.1667,2021-11-15 19:13:21,76.57,85,65,8.03,light rain
37,Lorengau,PG,-2.0226,147.2712,2021-11-15 19:10:58,81.12,77,92,5.91,overcast clouds
38,Provideniya,RU,64.3833,-173.3,2021-11-15 19:11:41,15.15,91,67,12.1,broken clouds
39,Bellavista,PE,-7.0561,-76.5911,2021-11-15 19:18:55,92.68,49,20,8.05,few clouds
40,Kapaa,US,22.0752,-159.319,2021-11-15 19:10:36,76.12,76,90,1.99,light rain
41,Srednekolymsk,RU,67.45,153.6833,2021-11-15 19:12:32,8.74,96,100,5.19,light snow
42,Bud,US,39.447,-86.1758,2021-11-15 19:18:56,40.82,70,100,8.84,overcast clouds
43,Butaritari,KI,3.0707,172.7902,2021-11-15 19:18:56,82.53,69,100,17.74,overcast clouds
44,Dhidhdhoo,MV,6.8833,73.1,2021-11-15 19:18:08,81.01,79,100,17.11,overcast clouds
45,Itainopolis,BR,-7.4469,-41.4783,2021-11-15 19:18:57,87.15,48,99,7.34,overcast clouds
46,Mataura,NZ,-46.1927,168.8643,2021-11-15 19:10:41,46.27,93,52,6.33,broken clouds
47,Sitka,US,57.0531,-135.33,2021-11-15 19:13:47,33.69,86,20,4.61,few clouds
48,Taltal,CL,-25.4,-70.4833,2021-11-15 19:18:57,65.28,66,23,8.57,few clouds
49,Puerto Ayora,EC,-0.7393,-90.3518,2021-11-15 19:10:58,78.76,71,30,10.11,scattered clouds
50,Biltine,TD,14.5333,20.9167,2021-11-15 19:18:58,82.29,13,0,7.23,clear sky
51,Hirakata,JP,34.8135,135.6491,2021-11-15 19:18:58,53.46,80,22,1.12,few clouds
52,Dicamay,PH,16.7561,122.0037,2021-11-15 19:18:59,73.51,98,100,1.88,overcast clouds
53,Luderitz,NA,-26.6481,15.1594,2021-11-15 19:11:13,65.12,76,0,12.19,clear sky
54,Matamoros,MX,25.5333,-103.25,2021-11-15 19:09:08,75.31,25,1,0.0,clear sky
55,Chuy,UY,-33.6971,-53.4616,2021-11-15 19:12:52,76.19,67,13,12.82,few clouds
56,Balikpapan,ID,-1.2675,116.8289,2021-11-15 19:18:59,74.32,91,100,2.06,overcast clouds
57,Cidreira,BR,-30.1811,-50.2056,2021-11-15 19:12:59,72.48,76,39,20.2,scattered clouds
58,Talnakh,RU,69.4865,88.3972,2021-11-15 19:19:00,0.48,97,100,11.14,light snow
59,Thohoyandou,ZA,-22.9456,30.485,2021-11-15 19:19:00,73.2,69,100,3.44,overcast clouds
60,Hofn,IS,64.2539,-15.2082,2021-11-15 19:13:48,42.82,70,20,21.85,few clouds
61,Zaraza,VE,9.3503,-65.3245,2021-11-15 19:13:43,97.86,27,54,6.85,broken clouds
62,Molodiya,UA,48.2233,26.0214,2021-11-15 19:19:01,47.39,71,100,7.56,overcast clouds
63,Pundaguitan,PH,6.3711,126.1689,2021-11-15 19:11:43,81.99,77,100,7.09,overcast clouds
64,Pitea,SE,65.3172,21.4794,2021-11-15 19:19:01,35.69,77,100,13.18,overcast clouds
65,Vaini,TO,-21.2,-175.2,2021-11-15 19:10:59,77.16,83,20,8.05,few clouds
66,Zhuhai,CN,22.2769,113.5678,2021-11-15 19:13:50,71.06,73,20,11.5,few clouds
67,Kurilsk,RU,45.2333,147.8833,2021-11-15 19:19:02,38.43,60,94,19.86,overcast clouds
68,Kerchevskiy,RU,59.946,56.2884,2021-11-15 19:19:02,14.22,94,100,7.18,overcast clouds
69,Lupiro,TZ,-8.3833,36.6667,2021-11-15 19:19:02,83.05,43,44,12.37,scattered clouds
70,Santa Cruz,BO,-17.8,-63.1667,2021-11-15 19:09:11,74.55,83,100,6.08,overcast clouds
71,Kruisfontein,ZA,-34.0033,24.7314,2021-11-15 19:12:24,64.89,69,100,12.5,overcast clouds
72,Port Alfred,ZA,-33.5906,26.891,2021-11-15 19:10:40,66.09,85,100,12.15,overcast clouds
73,Westport,US,41.1415,-73.3579,2021-11-15 19:12:36,48.74,63,90,1.01,overcast clouds
74,Noumea,NC,-22.2763,166.4572,2021-11-15 19:19:03,79.0,99,0,5.23,clear sky
75,Saint George,US,37.1041,-113.5841,2021-11-15 19:07:55,78.35,29,1,0.0,clear sky
76,Kaihua,CN,23.3687,104.28,2021-11-15 19:19:03,54.9,98,100,4.94,overcast clouds
77,Comodoro Rivadavia,AR,-45.8667,-67.5,2021-11-15 19:08:51,58.86,20,20,8.05,few clouds
78,Coquimbo,CL,-29.9533,-71.3436,2021-11-15 19:19:04,65.93,59,0,13.8,clear sky
79,Fortuna,US,40.5982,-124.1573,2021-11-15 19:19:04,61.66,70,100,8.01,overcast clouds
80,Novyy Urengoy,RU,66.0833,76.6333,2021-11-15 19:19:05,6.48,95,100,13.31,light snow
81,Tura,IN,25.5198,90.2201,2021-11-15 19:13:45,60.67,84,0,3.22,clear sky
82,Ushuaia,AR,-54.8,-68.3,2021-11-15 19:10:42,47.82,57,75,28.77,broken clouds
83,Dunedin,NZ,-45.8742,170.5036,2021-11-15 19:11:34,54.81,66,12,3.0,few clouds
84,Am Timan,TD,11.0297,20.2827,2021-11-15 19:19:05,84.54,21,97,3.11,overcast clouds
85,Karratha,AU,-20.7377,116.8463,2021-11-15 19:19:05,77.81,49,62,11.5,broken clouds
86,Port Hardy,CA,50.6996,-127.4199,2021-11-15 19:10:51,42.64,76,100,20.09,light rain
87,Laguna,US,38.421,-121.4238,2021-11-15 19:19:06,76.64,92,90,1.01,mist
88,Auki,SB,-8.7676,160.7034,2021-11-15 19:19:06,77.86,86,100,3.53,overcast clouds
89,Barrow,US,71.2906,-156.7887,2021-11-15 19:10:42,8.62,66,90,16.11,light snow
90,Tahe,CN,52.3333,124.7333,2021-11-15 19:19:06,18.16,67,98,3.62,overcast clouds
91,Busselton,AU,-33.65,115.3333,2021-11-15 19:10:54,60.08,95,100,6.08,overcast clouds
92,Dauriya,RU,49.9333,116.8667,2021-11-15 19:19:07,23.22,66,86,3.71,overcast clouds
93,Bobo Dioulasso,BF,11.1771,-4.2979,2021-11-15 19:16:15,82.85,39,0,2.3,clear sky
94,Mar Del Plata,AR,-38.0023,-57.5575,2021-11-15 19:11:28,69.82,90,40,24.0,scattered clouds
95,Hauterive,FR,46.0901,3.4459,2021-11-15 19:19:07,47.16,96,100,5.44,overcast clouds
96,Hobart,AU,-42.8794,147.3294,2021-11-15 19:10:53,44.46,73,90,9.22,overcast clouds
97,Dikson,RU,73.5069,80.5464,2021-11-15 19:10:45,-9.87,95,31,4.56,scattered clouds
98,Tomatlan,MX,19.9333,-105.25,2021-11-15 19:12:02,89.58,38,43,5.08,scattered clouds
99,Paamiut,GL,61.994,-49.6678,2021-11-15 19:11:22,9.45,75,0,8.57,clear sky
100,Kyabe,TD,9.4515,18.9449,2021-11-15 19:19:08,83.91,26,16,2.53,few clouds
101,Satwas,IN,22.5333,76.6833,2021-11-15 19:19:08,64.24,43,14,6.78,few clouds
102,Tecoanapa,MX,16.5167,-98.75,2021-11-15 19:19:09,83.48,58,5,7.07,clear sky
103,Upernavik,GL,72.7868,-56.1549,2021-11-15 19:10:55,0.59,71,13,7.23,few clouds
104,Shubarshi,KZ,48.5872,57.1869,2021-11-15 19:19:09,29.35,97,100,2.48,light snow
105,Bredasdorp,ZA,-34.5322,20.0403,2021-11-15 19:11:00,62.73,83,100,10.51,overcast clouds
106,Cape Town,ZA,-33.9258,18.4232,2021-11-15 19:11:02,69.1,63,98,9.22,overcast clouds
107,Halifax,CA,44.6453,-63.5724,2021-11-15 19:19:10,52.29,95,90,1.99,mist
108,Soubre,CI,5.7856,-6.6083,2021-11-15 19:19:10,78.62,80,74,4.34,broken clouds
109,Severo-Kurilsk,RU,50.6789,156.125,2021-11-15 19:11:09,35.91,61,71,18.63,broken clouds
110,Rojhan,PK,28.6868,69.9534,2021-11-15 19:19:11,68.59,15,0,8.59,clear sky
111,Los Algarrobos,PA,8.5,-82.4333,2021-11-15 19:19:11,89.46,66,20,8.05,few clouds
112,Airai,TL,-8.9266,125.4092,2021-11-15 19:10:40,59.85,87,87,2.19,overcast clouds
113,Lebu,CL,-37.6167,-73.65,2021-11-15 19:11:03,56.35,53,2,15.61,clear sky
114,Kupang,ID,-10.1667,123.5833,2021-11-15 19:19:12,79.63,77,95,1.07,overcast clouds
115,Pevek,RU,69.7008,170.3133,2021-11-15 19:11:24,17.85,88,100,7.4,overcast clouds
116,Bluff,NZ,-46.6,168.3333,2021-11-15 19:10:52,47.93,86,91,14.0,overcast clouds
117,Montecristi,EC,-1.05,-80.6667,2021-11-15 19:19:12,73.22,78,90,16.11,overcast clouds
118,Acarau,BR,-2.8856,-40.12,2021-11-15 19:11:04,84.38,66,5,17.85,clear sky
119,George,ZA,-33.963,22.4617,2021-11-15 19:19:13,63.95,82,90,4.61,overcast clouds
120,Dali,CN,25.7,100.1833,2021-11-15 19:19:13,49.6,93,62,4.88,broken clouds
121,Faanui,PF,-16.4833,-151.75,2021-11-15 19:13:18,78.82,72,100,6.49,overcast clouds
122,Arraial Do Cabo,BR,-22.9661,-42.0278,2021-11-15 19:10:39,76.86,61,20,25.32,few clouds
123,Mahebourg,MU,-20.4081,57.7,2021-11-15 19:11:28,75.49,83,40,2.3,scattered clouds
124,Kaitangata,NZ,-46.2817,169.8464,2021-11-15 19:11:07,47.64,92,100,6.38,overcast clouds
125,Faya,SA,18.3851,42.4509,2021-11-15 19:11:01,59.52,68,0,1.48,clear sky
126,Ahipara,NZ,-35.1667,173.1667,2021-11-15 19:11:08,64.04,86,3,10.76,clear sky
127,Kochi,IN,9.9399,76.2602,2021-11-15 19:19:13,75.18,90,100,4.18,moderate rain
128,Bharatpur,IN,27.2167,77.4833,2021-11-15 19:13:14,65.64,37,0,0.16,clear sky
129,Clyde River,CA,70.4692,-68.5914,2021-11-15 19:10:37,4.35,77,100,3.71,overcast clouds
130,Salalah,OM,17.0151,54.0924,2021-11-15 19:12:51,77.09,61,0,4.61,clear sky
131,Dir,PK,35.2058,71.8756,2021-11-15 19:19:14,45.36,29,0,9.86,clear sky
132,Saint-Philippe,RE,-21.3585,55.7679,2021-11-15 19:10:47,74.79,80,39,10.54,scattered clouds
133,Thompson,CA,55.7435,-97.8558,2021-11-15 19:11:01,28.18,92,100,6.4,light snow
134,Tungor,RU,53.3808,142.9564,2021-11-15 19:13:15,23.36,87,100,15.66,light snow
135,San-Pedro,CI,4.7485,-6.6363,2021-11-15 19:19:14,79.54,83,77,6.89,broken clouds
136,Adrar,MR,20.5022,-10.0711,2021-11-15 19:19:15,78.69,27,93,10.42,overcast clouds
137,Port Shepstone,ZA,-30.7414,30.455,2021-11-15 19:19:15,71.62,89,100,10.4,overcast clouds
138,Hilo,US,19.7297,-155.09,2021-11-15 19:10:51,76.8,95,90,8.05,moderate rain
139,Langsa,ID,4.4683,97.9683,2021-11-15 19:19:16,75.43,96,100,2.55,overcast clouds
140,Cabo San Lucas,MX,22.8909,-109.9124,2021-11-15 19:19:16,96.62,46,40,3.0,scattered clouds
141,Brokopondo,SR,4.75,-55.1667,2021-11-15 19:19:16,81.45,76,97,8.34,overcast clouds
142,Avarua,CK,-21.2078,-159.775,2021-11-15 19:10:47,75.25,83,20,8.05,few clouds
143,Ribeira Grande,PT,38.5167,-28.7,2021-11-15 19:10:52,70.2,73,20,26.46,few clouds
144,Moree,AU,-29.4667,149.85,2021-11-15 19:19:17,48.22,87,79,5.75,broken clouds
145,Norman Wells,CA,65.282,-126.8329,2021-11-15 19:15:07,7.68,93,99,4.18,overcast clouds
146,Ahuimanu,US,21.4447,-157.8378,2021-11-15 19:13:00,80.31,74,75,0.0,broken clouds
147,Klaksvik,FO,62.2266,-6.589,2021-11-15 19:19:17,49.12,92,100,37.87,overcast clouds
148,Lagoa,PT,39.05,-27.9833,2021-11-15 19:19:18,66.69,86,0,18.79,clear sky
149,Witu,KE,-2.3889,40.4382,2021-11-15 19:19:18,80.76,85,76,6.76,broken clouds
150,Qaanaaq,GL,77.484,-69.3632,2021-11-15 19:10:45,1.0,69,100,10.27,overcast clouds
151,Carnarvon,AU,-24.8667,113.6333,2021-11-15 19:11:09,68.07,77,75,13.8,broken clouds
152,Gamba,GA,-2.65,10.0,2021-11-15 19:19:18,78.3,86,100,6.85,overcast clouds
153,Kijang,KR,35.2442,129.2139,2021-11-15 19:12:02,53.58,55,100,3.24,overcast clouds
154,Itarema,BR,-2.9248,-39.9167,2021-11-15 19:19:19,84.22,66,4,16.64,clear sky
155,Corralillo,CU,22.9819,-80.5856,2021-11-15 19:19:19,76.35,82,100,14.03,overcast clouds
156,Valley City,US,46.9233,-98.0032,2021-11-15 19:19:19,34.79,100,100,10.07,overcast clouds
157,Mahajanga,MG,-15.7167,46.3167,2021-11-15 19:12:45,82.42,83,20,4.61,light rain
158,Kozmodemyansk,RU,56.3367,46.5711,2021-11-15 19:19:20,23.83,98,79,3.4,broken clouds
159,Castro,BR,-24.7911,-50.0119,2021-11-15 19:11:17,77.86,48,54,2.68,broken clouds
160,Vestmannaeyjar,IS,63.4427,-20.2734,2021-11-15 19:19:20,42.03,60,100,33.06,overcast clouds
161,Plettenberg Bay,ZA,-34.0527,23.3716,2021-11-15 19:19:21,63.55,71,80,9.22,broken clouds
162,Kasempa,ZM,-13.4584,25.8338,2021-11-15 19:19:21,69.28,70,79,2.77,broken clouds
163,Aswan,EG,24.0934,32.907,2021-11-15 19:19:21,77.76,34,2,8.97,clear sky
164,Middelburg,ZA,-25.7751,29.4648,2021-11-15 19:19:22,71.17,60,13,16.22,few clouds
165,Jalu,LY,29.0331,21.5482,2021-11-15 19:13:42,75.0,31,100,5.97,overcast clouds
166,Ngorongoro,TZ,-3.2397,35.4875,2021-11-15 19:19:22,59.05,64,79,3.02,broken clouds
167,Larap,PH,14.299,122.6504,2021-11-15 19:19:22,78.28,91,100,9.8,overcast clouds
168,Simao,CN,22.7886,100.9748,2021-11-15 19:19:23,60.28,99,99,2.08,overcast clouds
169,College,US,64.8569,-147.8028,2021-11-15 19:12:33,0.21,73,90,0.0,light snow
170,Acari,PE,-15.4311,-74.6158,2021-11-15 19:19:23,77.31,49,85,11.25,overcast clouds
171,Guerrero Negro,MX,27.9769,-114.0611,2021-11-15 19:15:08,84.76,24,0,4.12,clear sky
172,Sivaki,RU,52.6333,126.75,2021-11-15 19:19:23,16.32,71,6,4.94,clear sky
173,Rawson,AR,-43.3002,-65.1023,2021-11-15 19:19:24,54.39,59,73,30.76,broken clouds
174,Saint-Joseph,RE,-21.3667,55.6167,2021-11-15 19:19:24,73.78,81,30,5.06,scattered clouds
175,Katsuura,JP,35.1333,140.3,2021-11-15 19:11:35,58.19,71,32,5.26,scattered clouds
176,San Patricio,US,28.017,-97.5169,2021-11-15 19:19:24,86.09,43,0,12.3,clear sky
177,Kenai,US,60.5544,-151.2583,2021-11-15 19:19:25,-3.91,84,1,5.75,clear sky
178,Ilek,RU,51.5271,53.3831,2021-11-15 19:19:25,16.12,87,20,10.25,few clouds
179,Beringovskiy,RU,63.05,179.3167,2021-11-15 19:19:25,28.42,86,100,14.0,overcast clouds
180,Miedzychod,PL,52.5988,15.897,2021-11-15 19:19:25,42.67,93,1,8.25,clear sky
181,Hualmay,PE,-11.0964,-77.6139,2021-11-15 19:19:26,68.85,72,21,9.78,few clouds
182,Nevers,FR,46.9167,3.3333,2021-11-15 19:19:26,45.19,89,100,4.92,overcast clouds
183,San Quintin,MX,30.4833,-115.95,2021-11-15 19:13:02,77.5,35,0,8.5,clear sky
184,Tonj,SS,7.2737,28.6822,2021-11-15 19:19:27,79.3,41,23,0.69,few clouds
185,Marsh Harbour,BS,26.5412,-77.0636,2021-11-15 19:19:27,75.07,59,100,13.98,overcast clouds
186,Ossora,RU,59.2353,163.0719,2021-11-15 19:19:28,28.51,97,100,3.65,light snow
187,Shaunavon,CA,49.6501,-108.4181,2021-11-15 19:19:28,44.38,75,100,14.94,overcast clouds
188,Rocha,UY,-34.4833,-54.3333,2021-11-15 19:12:36,75.2,79,35,10.04,scattered clouds
189,Grand Gaube,MU,-20.0064,57.6608,2021-11-15 19:19:28,75.6,76,51,3.0,broken clouds
190,Ca Mau,VN,9.1769,105.15,2021-11-15 19:19:28,74.61,98,100,5.77,overcast clouds
191,Gunjur,GM,13.2019,-16.7339,2021-11-15 19:19:29,82.47,74,0,5.75,clear sky
192,Nikel,RU,69.4128,30.222,2021-11-15 19:19:29,32.18,90,100,10.0,overcast clouds
193,Charters Towers,AU,-20.1,146.2667,2021-11-15 19:19:29,74.32,78,5,5.44,clear sky
194,Pontal Do Parana,BR,-25.6533,-48.5128,2021-11-15 19:19:30,83.73,72,22,10.4,few clouds
195,Shelburne,CA,44.0787,-80.2041,2021-11-15 19:16:20,39.09,77,69,13.31,broken clouds
196,Tessalit,ML,20.1986,1.0114,2021-11-15 19:19:30,79.43,21,82,4.12,broken clouds
197,San Cristobal,VE,7.7669,-72.225,2021-11-15 19:19:30,77.18,50,54,4.34,broken clouds
198,Perni,GR,41.0011,24.6356,2021-11-15 19:19:30,54.77,71,20,10.36,few clouds
199,Berlevag,NO,70.8578,29.0864,2021-11-15 19:13:08,39.2,87,20,18.41,few clouds
200,Kandrian,PG,-6.2167,149.55,2021-11-15 19:19:31,77.25,88,100,3.74,overcast clouds
201,Sibolga,ID,1.7427,98.7792,2021-11-15 19:19:31,75.88,87,86,3.27,overcast clouds
202,Rio Gallegos,AR,-51.6226,-69.2181,2021-11-15 19:19:32,55.45,21,75,23.02,broken clouds
203,Buraydah,SA,26.326,43.975,2021-11-15 19:19:32,70.25,26,86,14.03,overcast clouds
204,Verkhnyaya Inta,RU,65.9811,60.3094,2021-11-15 19:19:33,18.21,93,100,14.52,light snow
205,Joao Pinheiro,BR,-17.7425,-46.1725,2021-11-15 19:19:33,76.44,59,93,6.51,overcast clouds
206,Lardos,GR,36.0942,28.0157,2021-11-15 19:19:33,64.22,66,20,5.82,few clouds
207,Yar-Sale,RU,66.8333,70.8333,2021-11-15 19:19:34,3.31,88,86,8.16,overcast clouds
208,Erenhot,CN,43.6475,111.9767,2021-11-15 19:19:34,22.3,81,4,6.24,clear sky
209,Ponta Do Sol,PT,32.6667,-17.1,2021-11-15 19:13:19,69.01,70,100,4.45,overcast clouds
210,Prado,BR,-17.3411,-39.2208,2021-11-15 19:19:34,75.16,67,84,12.03,broken clouds
211,Isangel,VU,-19.55,169.2667,2021-11-15 19:19:35,73.51,88,10,3.44,clear sky
212,Tiksi,RU,71.6872,128.8694,2021-11-15 19:19:35,-13.36,97,96,7.09,overcast clouds
213,Bowen,AU,-20.0167,148.2333,2021-11-15 19:19:35,76.37,79,33,9.66,scattered clouds
214,Tadine,NC,-21.55,167.8833,2021-11-15 19:19:36,76.55,75,10,10.13,clear sky
215,Celestun,MX,20.8667,-90.4,2021-11-15 19:19:36,79.56,56,0,14.74,clear sky
216,Georgetown,MY,5.4112,100.3354,2021-11-15 19:10:37,81.9,88,20,0.0,few clouds
217,Mazarron,ES,37.5992,-1.3149,2021-11-15 19:19:36,58.71,64,1,3.6,clear sky
218,Stara Synyava,UA,49.6032,27.6191,2021-11-15 19:19:37,36.18,75,5,8.99,clear sky
219,Saint-Pierre,RE,-21.3393,55.4781,2021-11-15 19:19:37,74.88,73,0,5.75,clear sky
220,East London,ZA,-33.0153,27.9116,2021-11-15 19:11:12,69.98,84,100,14.7,overcast clouds
221,Alofi,NU,-19.0595,-169.9187,2021-11-15 19:11:03,76.89,69,20,3.44,few clouds
222,La Rioja,ES,42.25,-2.5,2021-11-15 19:19:38,44.49,84,100,7.58,overcast clouds
223,Bandarbeyla,SO,9.4942,50.8122,2021-11-15 19:19:38,78.51,69,99,10.92,overcast clouds
224,Nikolskoye,RU,59.7035,30.7861,2021-11-15 19:10:56,31.87,69,88,9.4,overcast clouds
225,Te Anau,NZ,-45.4167,167.7167,2021-11-15 19:19:38,44.6,92,89,10.0,overcast clouds
226,Saskylakh,RU,71.9167,114.0833,2021-11-15 19:10:38,-27.36,100,25,5.17,scattered clouds
227,Libreville,GA,0.3925,9.4537,2021-11-15 19:19:39,82.42,78,40,8.05,scattered clouds
228,Boda,CF,4.3189,17.4695,2021-11-15 19:19:39,72.1,94,100,4.21,light rain
229,Meulaboh,ID,4.1363,96.1285,2021-11-15 19:19:39,76.57,89,100,3.36,overcast clouds
230,Isawa,JP,35.65,138.6333,2021-11-15 19:19:40,48.2,75,0,2.04,clear sky
231,Bakchar,RU,57.0186,82.0711,2021-11-15 19:19:40,3.34,97,96,3.94,overcast clouds
232,Coihaique,CL,-45.5752,-72.0662,2021-11-15 19:10:38,57.81,41,40,10.36,scattered clouds
233,Puerto Leguizamo,CO,-0.1934,-74.7819,2021-11-15 19:12:25,85.3,65,100,2.71,overcast clouds
